"";"spp";"parc";"dap"
"1";"Guatteria australis";"FSN_Plot_001";0,288535032
"2";"Virola gardneri";"FSN_Plot_001";0,060828025
"3";"Trichilia glabra";"FSN_Plot_001";0,050318471
"4";"Guatteria australis";"FSN_Plot_001";0,054140127
"5";"Hirtella hebeclada";"FSN_Plot_001";0,272292994
"6";"Calyptranthes brasiliensis";"FSN_Plot_001";0,045859873
"7";"Aniba firmula";"FSN_Plot_001";0,042038217
"8";"Sterculia curiosa";"FSN_Plot_001";0,28343949
"9";"Sorocea bonplandii";"FSN_Plot_001";0,047770701
"10";"Marlierea excoriata";"FSN_Plot_001";0,045859873
"11";"Guatteria australis";"FSN_Plot_001";0,189490446
"12";"Marlierea excoriata";"FSN_Plot_001";0,036624204
"13";"Matayba elaeagnoides";"FSN_Plot_001";0,077388535
"14";"Sorocea bonplandii";"FSN_Plot_001";0,128980892
"15";"Sorocea bonplandii";"FSN_Plot_001";0,05
"16";"Ocotea dispersa";"FSN_Plot_001";0,049363057
"17";"Brosimum guianense";"FSN_Plot_001";0,042993631
"18";"Pseudopiptadenia contorta";"FSN_Plot_001";0,305732484
"19";"Matayba elaeagnoides";"FSN_Plot_001";0,42611465
"20";"Pouteria caimito";"FSN_Plot_001";0,075159236
"21";"Myrcia pubipetala";"FSN_Plot_002";0,042993631
"22";"Siparuna guianensis";"FSN_Plot_002";0,041401274
"23";"Protium warmingiana";"FSN_Plot_002";0,146496815
"24";"Ocotea odorifera";"FSN_Plot_002";0,124203822
"25";"Guatteria australis";"FSN_Plot_002";0,246815287
"26";"Chrysophyllum gonocarpum";"FSN_Plot_002";0,076433121
"27";"Calyptranthes brasiliensis";"FSN_Plot_002";0,042993631
"28";"Siparuna guianensis";"FSN_Plot_002";0,03343949
"29";"Chrysophyllum gonocarpum";"FSN_Plot_002";0,062101911
"30";"Chrysophyllum gonocarpum";"FSN_Plot_002";0,062101911
"31";"Astronium graveolens";"FSN_Plot_002";1,1019
"32";"Erythroxylum pelleterianum";"FSN_Plot_002";0,058917197
"33";"Bathysa nicholsonii";"FSN_Plot_002";0,084394904
"34";"Siparuna guianensis";"FSN_Plot_002";0,085987261
"35";"Myrciaria floribunda";"FSN_Plot_002";0,047770701
"36";"Phyllostemonodaphne geminiflora";"FSN_Plot_002";0,101910828
