"";"Nome";"Amostra";"Localidade";"Data";"Clorofila";"Espessura";"Massa.Foliar.Turgida";"Area.Foliar";"Massa.Para.Furar";"Massa.Foliar.seca";"Volume.Ramo";"Massa.Seca.Ramo";"Comprimento.Ramo";"Densidade.Vasos"
"1";"Cecropia glaziovii";2;"FURB";2016-04-13;54,92;0,258;72,93;4255,5602;140,96;21,396;5,21;0,69;5,8;NA
"2";"Bathysa australis";2;"PMSF";2016-05-23;51,32;0,157;63,325;2435,6402;236,04;8,235;15,72;2,71;5,9;NA
"3";"Cecropia glaziovii";5;"FURB";2016-04-13;59,88;0,28;63,242;3530,186;76,7;17,714;3,9;0,53;5,7;NA
"4";"Cecropia glaziovii";1;"FURB";2016-04-13;51,92;0,262;63,064;3303,4926;168,17;19,884;4,79;0,59;5,7;NA
"5";"Cecropia glaziovii";3;"FURB";2016-04-13;61,26;0,278;52,31;2838,5314;123,35;12,708;3,07;0,42;4,8;NA
"6";"Bathysa australis";1;"PMSF";2016-05-23;47,26;0,18;33,086;1400,1902;184,21;7,688;5,75;1,25;5,5;9,187212402
"7";"Cecropia glaziovii";4;"FURB";2016-04-13;55,56;0,222;31,672;2117,6456;86,05;8,094;2,47;0,3;5,2;NA
"8";"Bathysa australis";4;"PMSF";2016-06-06;45,4;0,13;29,546;1481,5378;135,55;7,056;11,96;2,45;5,5;34,11047277
"9";"Bathysa australis";3;"PMSF";2016-05-23;43,3;0,158;19,85;919,7926;166,87;3,738;NA;1,55;5,6;NA
"10";"Bathysa australis";5;"PMSF";2016-07-13;44,94;0,19;17,902;729,1202;239,09;4,17;5,62;1,41;5,3;407527083,9
"11";"Miconia cabucu";5;"Massaranduba";2016-07-26;57,98;0,254;14,796;572,6498;244,98;5,026;6,48;2,61;6;NA
"12";"Hieronyma alchorneoides";4;"Braço Paula Ramos";2016-06-09;52,3;0,238;12,316;497,9582;202,67;2,658;4,17;0,7;5,5;NA
"13";"Miconia cabucu";4;"Massaranduba";2016-07-26;60,88;0,198;10,66;375,8952;136,12;3,892;5,3;2,02;5;2163083650
"14";"Miconia cabucu";3;"Braço Paula Ramos";2016-06-09;54,44;0,382;10,648;577,7818;358,81;7,398;7,25;1,23;5,6;NA
"15";"Magnolia ovata";4;"Braço Paula Ramos";2016-06-09;63,94;0,228;9,652;408,467;330,21;3,36;2,66;0,83;5,9;NA
"16";"Miconia cabucu";1;"Braço Paula Ramos";2016-06-09;55,12;0,416;9,568;248,341;394,75;3,832;2,16;1,01;5,5;NA
"17";"Miconia cabucu";2;"Braço Paula Ramos";2016-06-09;51,94;0,45;8,896;293,2842;321,38;3,49;3,04;1,24;5,2;NA
"18";"Syagrus romanzoffiana";2;"FURB";2016-04-13;67,76;0,296;8,11;226,712;1369,42;4,074;15,27;6,78;7,2;NA
"19";"Myrsine umbellata";2;"FURB";2016-05-02;NA;0,392;6,628;168,544;479,15;2,094;2,75;1,27;5,7;NA
"20";"Ficus adhatodifolia";1;"FURB";2016-04-25;59,04;0,39;6,42;194,847;334,01;1,876;5,82;1,82;5,6;NA
"21";"Sessea regnellii";5;"Tirolesa";2017-02-21;NA;0,226;6,346;260,9688;101,17;1,456;2,94;0,82;5,3;NA
"22";"Aegiphila integrifolia";3;"PMSF";2016-08-25;44,8;0,246;6,248;212,2294;230,05;2,016;3,2;1,09;5;NA
"23";"Hieronyma alchorneoides";3;"Braço Paula Ramos";2016-06-09;54,02;0,264;6,132;263,9112;281,46;1,284;1,21;0,51;5,1;NA
"24";"Syagrus romanzoffiana";4;"Santa Terezinha";2017-05-11;NA;0,234;5,98;NA;716,03;2,938;8,35;3,48;5,2;NA
"25";"Ficus adhatodifolia";3;"FURB";2016-05-02;NA;0,196;5,652;200,0094;484,01;1,728;2,94;0,77;4,5;NA
"26";"Hieronyma alchorneoides";5;"Braço Paula Ramos";2016-06-09;43,3;0,246;5,564;222,7874;218,99;1,028;1,3;0,27;5,3;NA
"27";"Magnolia ovata";5;"Braço Paula Ramos";2016-06-09;59,06;0,236;5,463;226,193;341,5;1,968;1,35;0,5;5;NA
